address,bathrooms,bedrooms,price_from,distance_to_ucsb_miles
"100 Baldwin Dr, Unit 107, Goleta, CA",1,0,3255,1.8
"100 Baldwin Dr, Unit 115, Goleta, CA",1,0,3240,1.8
"100 Baldwin Dr, Unit 205, Goleta, CA",1,1,3310,1.8
"100 Baldwin Dr, Unit 207, Goleta, CA",1,1,3310,1.8
"100 Baldwin Dr, Unit 203, Goleta, CA",1,1,3770,1.8
"100 Baldwin Dr, Unit 306, Goleta, CA",1,1,3620,1.8
"100 Baldwin Dr, Unit 218, Goleta, CA",1,1,3420,1.8
"100 Baldwin Dr, Unit 203, Goleta, CA",2,2,4485,1.8
"100 Baldwin Dr, Unit 303, Goleta, CA",2,2,4585,1.8
"100 Baldwin Dr, Unit 202, Goleta, CA",2,2,4650,1.8
"100 Baldwin Dr, Unit 301, Goleta, CA",2,2,4695,1.8
"100 Baldwin Dr, Unit 102, Goleta, CA",2,3,5550,1.8
"860 Camino Del Sur St. 10, Isla Vista, CA",1,1,1400,0.9
"6739 El Colegio Road Isla Vista, CA",1,1,2995,0.7
"6739 El Colegio Road Isla Vista, CA",1,1,3295,0.7
"6739 El Colegio Road Isla Vista, CA",2,2,6100,0.7
"6739 El Colegio Road Isla Vista, CA",3,4,9900,0.7
"6739 El Colegio Road Isla Vista, CA",1,1,3395,0.7
"6739 El Colegio Road Isla Vista, CA",1,1,3450,0.7
"6509 Pardall Rd, Goleta, CA 93117",2,2,6100,0.3
"6509 Pardall Rd, Goleta, CA 93117",2,2,6395,0.3
"6563 Trigo Road #101 Goleta, CA 93117",1,0,1550,0.8
"6563 Trigo Road #102 Goleta, CA 93117",1,0,1550,0.8
"6563 Trigo Road #103 Goleta, CA 93117",1,0,3300,0.8
"6563 Trigo Road #201 Goleta, CA 93117",1,0,3250,0.8
"6563 Trigo Road #202 Goleta, CA 93117",1,0,1675,0.8
"6563 Trigo Road #203 Goleta, CA 93117",1,0,1675,0.8
"6563 Trigo Road #204 Goleta, CA 93117",1,0,1675,0.8
"6563 Trigo Road #205 Goleta, CA 93117",1,0,1675,0.8
"6563 Trigo Road #206 Goleta, CA 93117",1,0,1675,0.8
"6563 Trigo Road #207 Goleta, CA 93117",1,0,3250,0.8
"6563 Trigo Road #208 Goleta, CA 93117",1,0,1675,0.8
"6588 Trigo Road #4 Goleta, CA, 93117",1,1,1850,0.9
"6598 Trigo Road #1 Goleta, CA, 93117",1,1,1850,0.9
"6598 Trigo Road #6 Goleta, CA, 93117",1,1,1850,0.9
"6598 Trigo Road #7 Goleta, CA, 93117",1,1,1850,0.9
"6598 Trigo Road #8 Goleta, CA, 93117",1,1,1850,0.9
"6598 Trigo Road #9 Goleta, CA, 93117",1,1,1850,0.9
"6588 Trigo Road #10 Goleta, CA, 93117",1,2,1515,0.9
"6588 Trigo Road #2 Goleta, CA, 93117",1,2,1385,0.9
"6588 Trigo Road #5 Goleta, CA, 93117",1,2,1485,0.9
"6588 Trigo Road #8 Goleta, CA, 93117",2,2,1575,0.9
"6598 Trigo Road #10 Goleta, CA, 93117",1,2,1535,0.9
"6598 Trigo Road #3 Goleta, CA, 93117",1,2,1535,0.9
"6598 Trigo Road #5 Goleta, CA, 93117",1,2,1400,0.9
"6640 Abrego Rd #10 Goleta, CA, 93117",2,2,1450,0.8
"6640 Abrego Rd #7 Goleta, CA, 93117",1,2,1375,0.8
"6640 Abrego Rd #8 Goleta, CA, 93117",1,2,1425,0.8
"6563 Trigo Road #301 Goleta, CA 93117",2,3,1425,0.8
"6563 Trigo Road #302 Goleta, CA 93117",2,3,1425,0.8
"6640 Abrego Rd #1 Goleta, CA, 93117",2,3,1425,0.8
"6640 Abrego Rd #3 Goleta, CA, 93117",2,3,1395,0.8
"6640 Abrego Rd #4 Goleta, CA, 93117",2,3,1600,0.8
"6640 Abrego Rd #6 Goleta, CA, 93117",2,3,1375,0.8
"6502 Sabado Tarde Rd #1, Goleta, CA 93117",2,3,5000,0.4
"893 Camino Del Sur #A, Goleta, CA 93117",2,2,4297,0.9
"6722 Sueno Rd #A, Goleta, CA 93117",2,2,4297,1
"6716 Sueno Rd #B Goleta, CA 93117",2,2,4800,1
"6708 Sueno Rd #A, Isla Vista, CA 93117",2,2,4800,1
