Monthly Rent,Bedrooms,Bathrooms,Distance from UCSB,Address,Latitude,Longitude
3255,0,1,1.8,"100 Baldwin Dr, Unit 107, Goleta, CA",34.4261,-119.8665
3240,0,1,1.8,"100 Baldwin Dr, Unit 115, Goleta, CA",34.4261,-119.8665
3310,1,1,1.8,"100 Baldwin Dr, Unit 205, Goleta, CA",34.4261,-119.8665
3310,1,1,1.8,"100 Baldwin Dr, Unit 207, Goleta, CA",34.4261,-119.8665
3770,1,1,1.8,"100 Baldwin Dr, Unit 203, Goleta, CA",34.4261,-119.8665
3620,1,1,1.8,"100 Baldwin Dr, Unit 306, Goleta, CA",34.4261,-119.8665
3420,1,1,1.8,"100 Baldwin Dr, Unit 218, Goleta, CA",34.4261,-119.8665
4485,2,2,1.8,"100 Baldwin Dr, Unit 203, Goleta, CA",34.4261,-119.8665
4585,2,2,1.8,"100 Baldwin Dr, Unit 303, Goleta, CA",34.4261,-119.8665
4650,2,2,1.8,"100 Baldwin Dr, Unit 202, Goleta, CA",34.4261,-119.8665
4695,2,2,1.8,"100 Baldwin Dr, Unit 301, Goleta, CA",34.4261,-119.8665
5550,3,2,1.8,"100 Baldwin Dr, Unit 102, Goleta, CA",34.4261,-119.8665
1400,1,1,0.9,"860 Camino Del Sur St. 10, Isla Vista, CA",34.4105,-119.8635
2995,1,1,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
3295,1,1,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
6100,2,2,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
9900,4,3,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
3395,1,1,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
3450,1,1,0.7,"6739 El Colegio Road Isla Vista, CA",34.41683,-119.864213
6100,2,2,0.3,"6509 Pardall Rd, Goleta, CA 93117",34.412971,-119.854229
6395,2,2,0.3,"6509 Pardall Rd, Goleta, CA 93117",34.412971,-119.854229
1550,0,1,0.8,"6563 Trigo Road #101 Goleta, CA 93117",34.410913,-119.857439
1550,0,1,0.8,"6563 Trigo Road #102 Goleta, CA 93117",34.410913,-119.857439
3300,0,1,0.8,"6563 Trigo Road #103 Goleta, CA 93117",34.410913,-119.857439
3250,0,1,0.8,"6563 Trigo Road #201 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #202 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #203 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #204 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #205 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #206 Goleta, CA 93117",34.410913,-119.857439
3250,0,1,0.8,"6563 Trigo Road #207 Goleta, CA 93117",34.410913,-119.857439
1675,0,1,0.8,"6563 Trigo Road #208 Goleta, CA 93117",34.410913,-119.857439
1850,1,1,0.9,"6588 Trigo Road #4 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #1 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #6 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #7 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #8 Goleta, CA, 93117",34.411322,-119.85813
1850,1,1,0.9,"6598 Trigo Road #9 Goleta, CA, 93117",34.411322,-119.85813
1515,2,1,0.9,"6588 Trigo Road #10 Goleta, CA, 93117",34.411322,-119.85813
1385,2,1,0.9,"6588 Trigo Road #2 Goleta, CA, 93117",34.411322,-119.85813
1485,2,1,0.9,"6588 Trigo Road #5 Goleta, CA, 93117",34.411322,-119.85813
1575,2,2,0.9,"6588 Trigo Road #8 Goleta, CA, 93117",34.411322,-119.85813
1535,2,1,0.9,"6598 Trigo Road #10 Goleta, CA, 93117",34.411302,-119.858455
1535,2,1,0.9,"6598 Trigo Road #3 Goleta, CA, 93117",34.411302,-119.858455
1400,2,1,0.9,"6598 Trigo Road #5 Goleta, CA, 93117",34.411302,-119.858455
1450,2,2,0.8,"6640 Abrego Rd #10 Goleta, CA, 93117",34.4144802,-119.860266
1375,2,1,0.8,"6640 Abrego Rd #7 Goleta, CA, 93117",34.4144802,-119.860266
1425,2,1,0.8,"6640 Abrego Rd #8 Goleta, CA, 93117",34.4144802,-119.860266
1425,3,2,0.8,"6563 Trigo Road #301 Goleta, CA 93117",34.41111579,-119.8575694
1425,3,2,0.8,"6563 Trigo Road #302 Goleta, CA 93117",34.41111579,-119.8575694
1425,3,2,0.8,"6640 Abrego Rd #1 Goleta, CA, 93117",34.41111579,-119.8575694
1395,3,2,0.8,"6640 Abrego Rd #3 Goleta, CA, 93117",34.41111579,-119.8575694
1600,3,2,0.8,"6640 Abrego Rd #4 Goleta, CA, 93117",34.41111579,-119.8575694
1375,3,2,0.8,"6640 Abrego Rd #6 Goleta, CA, 93117",34.41111579,-119.8575694
5000,3,2,0.4,"6502 Sabado Tarde Rd #1, Goleta, CA 93117",34.41070641,-119.8537784
4297,2,2,0.9,"893 Camino Del Sur #A, Goleta, CA 93117",34.41322024,-119.8627697
4297,2,2,1,"6722 Sueno Rd #A, Goleta, CA 93117",34.41312437,-119.8635876
4800,2,2,1,"6716 Sueno Rd #B Goleta, CA 93117",34.41318747,119.8632144
4800,2,2,1,"6708 Sueno Rd #A, Isla Vista, CA 93117",34.41318747,119.8632144
17500,7,3.5,0.4,"6555 Segovia Rd, Goleta, CA 93117",34.41449689,-119.8564018
8490,3,2,1.3,"6793 Pasado Rd, Goleta, CA 93117",34.41207008,-119.8665905
13250,5,3,1.2,"6774 Sueno Rd, Isla Vista, CA 93117",34.4141452,-119.865329
6400,2,2,0.7,"6591 Cordoba Rd, Isla Vista, CA 93117",34.41409463,-119.8583589
11000,4,2,1.4,"6880 Pasado Rd, Goleta, CA 93117",34.41299946,-119.8693585
9400,4,4,1.3,"6766 Del Playa Dr, Goleta, CA 93117",34.41282243,-119.8687577
3500,0,1,0.5,"939 Embarcadero del Mar #A, Goleta, CA 93117",34.41242532,-119.8573357
3500,1,1,0.38,"760 Embarcadero del Norte, Goleta, CA 93117",34.41641574,-119.8551189
2850,1,1,0.54,"910 Camino Pescadero, Goleta, CA 93117",34.412854,-119.858245
3300,0,1,0.54,"6578 Trigo Rd Unit C, Goleta, CA 93117",34.411312,-119.857693
3300,0,1,0.54,"6578 Trigo Rd Unit F, Goleta, CA 93117",34.411312,-119.857693
2900,1,1,0.54,"6578 Trigo Rd Unit D, Goleta, CA 93117",34.411312,-119.857693
2900,1,1,0.54,"6578 Trigo Rd Unit E, Goleta, CA 93117",34.411312,-119.857693
1800,1,1,0.7,"6661 Berkshire Terr, Isla Vista, CA 93117",34.416073,-119.86073
8100,3,3,0.99,"938 Camino Corto, Isla Vista, CA 93117",34.412117,-119.866167
2800,1,1,0.48,"6556 El Nido Ln Isla Vista, CA 93117",34.409948,-119.855754
4100,2,2,0.99,"820 Camino Corto Goleta, CA 93117",34.4147034,-119.8662717
13100,5,3,0.88,"6730 Sabado Tarde Rd, Isla Vista, CA 93117",34.4106531,-119.8637672
