Housing Type,Bedrooms,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ALL HOUSING TYPES,0 BR,1438,1495,1553,1520,1638,1695,2000,2100,2225,2275
ALL HOUSING TYPES,1 BR,1695,1750,2253,1875,1925,2000,2624,2881,2750,2890
ALL HOUSING TYPES,2 BR,2500,2550,2701,2695,2950,2800,3993,4400,4075,3941
ALL HOUSING TYPES,3 BR,3300,3700,3669,3900,4473,3993,5425,5769,5693,5995
ALL HOUSING TYPES,4+ BR,4195,5000,3590,5100,6800,5000,8000,6500,7500,7700
APARTMENT,0 BR,1438,1495,1456,1500,1638,1695,2000,2100,2225,2275
APARTMENT,1 BR,1695,1700,1748,1863,1925,1984,2554,2750,2700,2841
APARTMENT,2 BR,2325,2450,2525,2563,2800,2748,3687,3898,3997,3850
APARTMENT,3 BR,3040,3140,3838,3425,4900,3950,4200,4795,5600,5500
APARTMENT,4+ BR,3138,4500,3290,4698,7650,4750,6600,5900,7000,8500
CONDO,0 BR,NSD,NSD,3195,2800,NSD,NSD,NSD,NSD,NSD,NSD
CONDO,1 BR,2500,2375,2250,2150,2525,2275,2950,3450,3350,3275
CONDO,2 BR,2700,2700,2550,2850,3000,3075,4450,5850,4550,3900
CONDO,3 BR,2987,3400,3500,3150,3675,3750,4850,5420,4700,6900
CONDO,4+ BR,4000,NSD,3590,3700,5000,3800,NSD,5950,NSD,NSD
DUPLEX/TH,0 BR,NSD,NSD,1411,NSD,NSD,NSD,NSD,NSD,NSD,NSD
DUPLEX/TH,1 BR,NSD,2250,2314,1850,1825,2095,2674,3000,3225,2825
DUPLEX/TH,2 BR,NSD,2700,2853,2823,3200,2835,3725,4500,3295,3985
DUPLEX/TH,3 BR,NSD,3150,3200,4099,5500,3600,5200,4990,5150,4995
DUPLEX/TH,4+ BR,NSD,NSD,NSD,NSD,10000,4500,11500,6800,NSD,NSD
HOUSE,0 BR,NSD,NSD,1650,1520,NSD,NSD,NSD,NSD,NSD,NSD
HOUSE,1 BR,2500,2450,2256,1750,1873,2025,2650,3100,2850,3320
HOUSE,2 BR,2900,3000,3425,3200,3195,2923,4850,4995,4950,4875
HOUSE,3 BR,3600,4000,4869,3950,4425,4250,6000,6450,5900,6500
HOUSE,4+ BR,4450,5175,5375,5625,6800,5975,7725,6625,8000,7700
