address,unit,bathrooms,bedrooms,description,price_from,distance_to_ucsb
6535 El Nido Ln,,2.5,3,"In-unit
Gas Range
Dishwasher","14,000",0.2
6525 Del Playa Dr ,Unit 2,2.0,3,,"11,000",0.2
6509 Seville Rd ,Unit 11,1.0,0,"In-unit
Patio
Refrigerator
Community
Extra Storage
Unique features
Stainless Steel Appliances, Off Street Parking, Stove","2,600",0.3
6509 Seville Rd ,Unit 11,1.0,0,"In-unit
Patio
Refrigerator
Community
Extra Storage
Unique features
Stainless Steel Appliances, Off Street Parking, Stove","2,600",0.3
6564 Del Playa Dr,,3.0,4,"Unique features
Landscaping
Trash","15,000",0.3
6565 Sabado Tarde Rd,,1.0,1,"In-unit
Refrigerator
Community
Laundry Facility
Unique features
Bike Racks, Internet, Off-Street Parking","2,989",0.3
6703 Del Playa Dr ,Unit A-2,1.0,2,"In-unit
Patio
View","4,800",0.6
6587 Cordoba Rd ,,1.0,1,"In-unit
Dishwasher
Washer & Dryer In Unit
Refrigerator","3,145",0.6
850 Camino Pescadero ,Unit 103,1.0,2,"In-unit
Washer & Dryer In Unit","4,450",0.6
6703 Del Playa Dr ,Unit A-1,1.0,1,"In-unit
Patio
Unique features
Outdoor Parking Pets
No pets allowed
Lease terms
Deposit: $2,000
Parking
Outdoor","2,000",0.6
6741 Del Playa Dr,,3.0,7,"Unique features
Landscaping","19,000",0.7
6773 Del Playa Dr,,3.0,4,"Unique features
Landscaping","17,000",0.8
6761 Del Playa Dr ,Unit 201,2.0,4,"In-unit
Patio
Washer & Dryer In Unit","11,800",0.8
6679 Abrego Rd,Downstairs,1.0,1,"Deal
FURNISHED UNITS Lease with us and receive a $1,000 Visa Gift Card at move-in
Available now
Availability
Pets welcome
Pet policy
Somewhat walkable
Walk Score","1,150",0.9
6679 Abrego Rd ,Upstairs,1.0,1,"Deal
FURNISHED UNITS Lease with us and receive a $1,000 Visa Gift Card at move-in
Available now
Availability
Pets welcome
Pet policy
Somewhat walkable
Walk Score","1,132",0.9
6754 Abrego Rd ,Unit 6754-16,1.0,1,"In-unit
Microwave
Refrigerator
Unique features
Stove","2,500",1.0
6754 Abrego Rd ,Unit 6764-11,2.0,2,"In-unit
Microwave
Refrigerator
Unique features
Stove","4,800",1.0
6754 Abrego Rd ,Unit 6764-04,1.0,1,"
In-unit
Microwave
Refrigerator
Unique features
Stove","2,600",1.0
