address,unit,bathrooms,bedrooms,description,price_from,distance_to_ucsb
19 San Dimas Ave,1,2.0,2,"
Fireplace
Dishwasher
Washer & Dryer In Unit
Microwave
Refrigerator
Unique features
Private Yard
Gas Range
Internet Included
Non-Smoking
Off Street Parking",4450.0,4.5
3963 Via Lucero,,1.0,2,Stainless Steel Appliances,3275.0,7.4
3940 Via Lucero,,1.0,0,"In-unit
Range Oven
Refrigerator
Community
Laundry, Off Street, Remodeled",1950.0,7.4
3940 Via Lucero,,1.0,1,"In-unit
Range Oven
Refrigerator
Community
Laundry, Off Street, Remodeled",2150.0,7.4
3999 Via Lucero,Plan 1A,1.0,1,"In-unit
Additional Storage
Ceiling Fan
Hardwood Flooring
Microwave
Refrigerator
Walk-in Closet
Community
Bicycle storage, Laundry, Pool",2507.0,7.5
3999 Via Lucero,Plan 1B,1.0,1,"In-unit
Additional Storage
Ceiling Fan
Hardwood Flooring
Microwave
Refrigerator
Walk-in Closet
Community
Bicycle storage, Laundry, Pool",2759.0,7.5
3885 State St,Plan 3A,2.0,3,,4995.0,7.6
3885 State St,Plan 2B,2.0,2,,4499.0,7.6
304 Rosario Dr,A,1.0,2,"In-unit
Dishwasher
Washer & Dryer In Unit
Refrigerator
Unique features
Private Yard
Garage
Ceiling Fans
Gas Range
Off Street Parking",3950.0,7.6
3885 State St,Plan A2 - Furnished,2.0,2,,4995.0,7.6
3885 State St,Plan A2,2.0,2,,4299.0,7.6
4099 Foothill Rd,,2.5,3,"In-unit
Ceiling Fan
Dishwasher
Disposal
Microwave
Range
Refrigerator
Vinyl Flooring
Community
Jogging Walking Trails, Laundry, Pool",4700.0,7.8
102 N Hope Ave,Town house,1.5,0,"In-unit
Additional Storage
Carpet
Disposal
Microwave
Oven
Patio
Range
Refrigerator
Vinyl Flooring
Community
Availability 24 Hours, Laundry, Pool",3995.0,8.0
102 N Hope Ave,Studio,1.0,0,"In-unit
Additional Storage
Carpet
Disposal
Microwave
Oven
Patio
Range
Refrigerator
Vinyl Flooring
Community
Availability 24 Hours, Laundry, Pool",2295.0,8.0
338 Apple Grove Ln,ADU,1.5,2,"In-unit
Washer & Dryer In Unit
Air Conditioning
Unique features
Off Street Parking",2930.0,8.2
3432 Richland Dr,,1.0,1,Outdoor Parking,2900.0,8.4
2418 Calle Real,,1.0,1,"Dishwasher
Washer & Dryer In Unit
Microwave
Community
Extra Storage
Unique features
Outdoor Parking
Stainless Steel Appliances",2900.0,9.3
1 El Vedado Ln,,2.0,1,"In-unit
Additional Storage
Carpet
Dishwasher
Disposal
Patio
Range
Vinyl Flooring
Community
Senior Living, Laundry, Pool",3900.0,9.3
2528 De La Vina St,6,1.0,2,"Community
Pet Friendly",4000.0,9.4
528 W Los Olivos St,,1.0,1,"Community
Landscaping
Heating: Gas",3150.0,9.7
528 W Los Olivos St,,1.0,1,"Community
Landscaping
Heating: Gas",3050.0,9.7
400 W Pedregosa St,,1.0,2,"In-unit
Dishwasher
Washer & Dryer in Unit
Patio
Hardwood Flooring
Oversized Closets
Refrigerator
Ceiling Fan(s)",4150.0,10.0
714 W Arrellaga St,,1.0,1,"In-unit
Hardwood Flooring
Microwave
Oven
Range
Refrigerator
Community
Laundry, Pet Friendly",2900.0,10.0
709 W Micheltorena St,A,1.0,2,"Refrigerator
Unique features
Private Yard
Off Street Parking
Stove",3200.0,10.1
16 W Mission St,22,1.0,2,"Washer & Dryer In Unit
Unique features
Stainless Steel Appliances",4750.0,10.3
1825 Chapala St,,1.0,1,"In-unit
Range Oven
Refrigerator",,10.3
530 W Anapamu St,,1.5,3,"In-unit
Dishwasher
Hardwood Flooring
Microwave
Oven
Range
Refrigerator
Wheel Chair
Community
Laundry, Freezer, Gated Entry",4495.0,10.3
1021 San Andres St,4,1.0,1,"Patio
Refrigerator
Unique features
Stove",2850.0,10.5
520 W Carrillo St,,1.0,1,"In-unit
Carpet
Disposal
Furnished
Microwave
Refrigerator
Community
Laundry, Barbecue Area, Gated Entry",2895.0,10.7
1330 Chapala St,,2.0,2,"Amenities
In-unit
Ceiling Fan
Range
Refrigerator
Stove
Vinyl Flooring
Window Coverings
Community
Laundry, Pool, Electricity Included",4495.0,10.9
711 W Cota St,27,1.0,0,"In-unit
Ceiling Fan
Range
Refrigerator
Stove
Vinyl Flooring
Window Coverings
Community
Laundry, Pool, Electricity Included",2095.0,11.1
711 W Cota St,7,1.0,1,"In-unit
Ceiling Fan
Range
Refrigerator
Stove
Vinyl Flooring
Window Coverings
Community
Laundry, Pool, Electricity Included",2295.0,11.1
322 W Canon Perdido St,322-10,1.0,1,"Patio
Microwave
Refrigerator
Community
Extra Storage
Pet Friendly
Unique features
Pool
New Appliances
Ceiling Fans
Gas Range
Tennis Courts
Granite Countertops
Off Street Parking
Stove",2600.0,11.1
902 Bath St,902-107,1.0,0,"In-unit
Oversized Closets
Hardwood Flooring",2200.0,11.1
1416 Garden St,,1.0,0,"Washer & Dryer In Unit
Unique features
Private Yard
Outdoor Parking",2450.0,11.2
515 Red Rose Ln,,1.0,1,"In-unit
Disposal
Dryer
Oven
Range
Refrigerator
Tile Flooring
Washer
Community
Laundry, Sewer Included, Trash Included",3995.0,11.3
825 De la Vina St,,1.0,1,,5500.0,11.3
515 Red Rose Ln,,1.0,1,"In-unit
Disposal
Dryer
Oven
Range
Refrigerator
Tile Flooring
Washer
Community
Laundry, Sewer Included, Trash Included",3500.0,11.3
1308 Laguna St,A,1.0,2,"Unique features
Stove",3600.0,11.3
515 Red Rose Ln,,1.0,1,"In-unit
Disposal
Dryer
Oven
Range
Refrigerator
Tile Flooring
Washer
Community
Laundry, Sewer Included, Trash Included",3500.0,11.3
203 Ladera St,,1.0,0,"Trash Included
Landscaping
Trash/Recycling",2695.0,11.4
203 Ladera St,,1.0,1,"Trash Included
Landscaping
Trash/Recycling",3195.0,11.4
1021 Cliff Dr,13,1.0,1,"Patio
Microwave
Refrigerator
View
Unique features
Stove",3595.0,11.6
1021 Cliff Dr,12,1.0,2,"In-unit
Patio
Refrigerator
Unique features
Stove",4750.0,11.6
1035 Cliff Dr,,1.0,2,"Community
Laundry
Trash Included
Water Included",3350.0,11.7
221 Bath St,,1.0,1,"Gas Range
Dishwasher
Refrigerator
Unique features
All Stainless Steel Appliances
Blocks From The Beach
Leasable Assigned Parking Space
On Site Laundry Room
Private Community Pool
Wifi",1495.0,11.7
100 Oceano Ave,,2.0,2,"Dishwasher
Range Oven
Refrigerator
Community
Laundry, Pool, Trash Included",4050.0,11.8
835 E Canon Perdido St,,2.0,2,"In-unit
Air Conditioning
Courtyard
Dishwasher
Dryer
Garage
Private Balcony
Range Oven
Refrigerator
Tile Flooring
View
Washer
Community
Bicycle storage, Elevator, Recycling",4245.0,12.1
216 N Milpas St,H,1.0,1,,2595.0,12.8
